Global Rank,Company,Sales ($billion),Profits ($billion),Assets ($billion),Market Value ($billion),Country,Continent,Latitude,Longitude,,,Labels
1,ICBC,134.8,37.8,2813.5,237.3,China,Asia,39.9123,116.3559,,,"No.1. ICBC is a multinational Chinese banking company. Founded as a limited company on 1 January 1984, ICBC is a state-owned commercial bank. ... It is considered a systemically important bank by the Financial Stability Board. Head Office is  Xicheng District, Beijing, China"
2,China Construction Bank,113.1,30.6,2241,202,China,Asia,39.9123,116.36595,,,"No.2.  China Construction Bank Corporation is one of the ""big four"" banks in the People's Republic of China. In 2015 CCB was the 2nd largest bank in the world by market capitalization and 6th largest company in the world. The bank has approximately 13,629 domestic branches. Headquarters: Xicheng District, Beijing, China"
3,JPMorgan Chase,108.2,21.3,2359.1,191.4,USA,North America,40.7128,-74.006,,,"No.3. JPMorgan Chase & Co. is an American investment bank and financial services holding company headquartered in New York City. JPMorgan Chase is incorporated in Delaware. As a ""Bulge Bracket"" bank, it is a major provider of various investment banking and financial services"
4, General Electric Company ,147.4,13.6,685.3,243.7,USA,North America,42.3601,-71.0589,,,"No.4. General Electric Company is an American multinational conglomerate incorporated in New York City and headquartered in Boston. As of 2018, the company operates through the following segments: aviation, healthcare, power, renewable energy, digital industry, additive manufacturing and venture capital and finance"
5,Exxon Mobil,420.7,44.9,333.8,400.4,USA,North America,32.814,-96.9489,,,"No.5. Exxon Mobil Corporation, stylized as ExxonMobil, is an American multinational oil and gas corporation headquartered in Irving, Texas. It is the largest direct descendant of John D. Rockefeller's Standard Oil, and was formed on November 30, 1999 by the merger of Exxon and Mobile"
6,HSBC Holdings,104.9,14.3,2684.1,201.3,UK,Europe,51.5074,0.1278,,,"No.6. HSBC Holdings plc is a British multinational investment bank and financial services holding company. It is the largest bank in Europe, with total assets of US$2.715 trillion. Headquarters: London, United Kingdom"
7,Royal Dutch Shell,467.2,26.6,360.3,213.1,The Netherlands,Europe,52.0705,4.3007,,,"No.7. Royal Dutch Shell, commonly known as Shell, is an Anglo-Dutch multinational oil and gas company headquartered in The Hague, Netherlands, and incorporated in the United Kingdom as a public limited company. "
8,Agricultural Bank of China,103,23,2124.2,150.8,China,Asia,39.9284,116.4164,,,"No.8.Agricultural Bank of China, also known as AgBank, is one of the ""Big Four"" banks in the People's Republic of China. It was founded on July 10, 1951, and has its headquarters in Dongcheng District, Beijing."
9,PetroChina,308.9,18.3,347.8,261.2,China,Asia,39.9384,116.4264,,,"Joint No.9. PetroChina Company Limited is a Chinese oil and gas company and is the listed arm of state-owned China National Petroleum Corporation, headquartered in Dongcheng District, Beijing. The company is currently Asia's largest oil and gas producer and was China's second biggest oil producer in 2006"
9,Berkshire Hathaway,162.5,14.8,427.5,252.8,USA,North America,41.2565,-95.9345,,,"Joint no .9 Berkshire Hathaway is an American multinational conglomerate holding company headquartered in Omaha, Nebraska, United States"
11,Bank of China,98.1,22.1,2033.8,131.7,China,Asia,39.9042,116.4074,,,"No.11. The Bank of China is one of the four biggest state-owned commercial banks in China. Bank of China is legally separate from its subsidiary Bank of China, although they maintain close relations in management and administration and co-operate in several areas including reselling BOC's insurance and securities services. Bank of China Headquarters, Beijing, China."
12,Wells Fargo,91.2,18.9,1423,201.3,USA,North America,37.7749,-122.4194,,,"No.12. Wells Fargo & Company is an American multinational financial services company with corporate headquarters in San Francisco, California, operational headquarters in Manhattan, and managerial offices throughout the United States and overseas."
13,Chevron,222.6,26.2,233,232.5,USA,North America,37.7644,-121.954,,,"No.13. Chevron Corporation is an American multinational energy corporation. One of the successor companies of Standard Oil, it is headquartered in San Ramon, California, and active in more than 180 countries"
14,Volkswagen Group,254,28.6,408.2,94.4,Germany,Europe,52.4227,10.7865,,,"No.14.Volkswagen AG, known internationally as the Volkswagen Group, is a German multinational automotive manufacturing corporation headquartered in Wolfsburg, Lower Saxony, Germany and indirectly majority owned by the Porsche and Piëch family."
15,Wal-Mart Stores,469.2,17,203.1,242.5,USA,North America,36.3729,-94.2088,,,"Joint No.15. Walmart Inc. is an American multinational retail corporation that operates a chain of hypermarkets, discount department stores, and grocery stores from the United States, headquartered in Bentonville, Arkansas."
15,Apple,164.7,41.7,196.1,416.6,USA,North America,37.323,-122.0322,,,"Joint No.15. Apple Inc. is an American multinational technology company headquartered in Cupertino, California, that designs, develops, and sells consumer electronics, computer software, and online services."
17,Gazprom,144,40.6,339.3,111.4,Russia,Europe,59.9311,30.3609,,,"No.17. PJSC Gazprom is a Russian majority state-owned multinational energy corporation headquartered in the Lakhta Center in Saint Petersburg. As of 2019, with sales over US$120 billion, it sits as the largest publicly-listed natural gas company in the world and the largest company in Russia by revenue"
18,BP,370.9,11.6,301,130.4,UK,Europe,51.5074,-0.1277,,,"No.18 BP plc is a British multinational oil and gas company headquartered in London, England. It is one of the world's seven oil and gas ""supermajors"""
19,Citigroup,90.7,7.5,1864.7,143.6,USA,North America,40.71024,-74.006,,,No.19. Citigroup Inc. or Citi is an American multinational investment bank and financial services corporation headquartered in New York City. The company was formed by the merger of banking giant Citicorp and financial conglomerate Travelers Group in 1998; Travelers was subsequently spun off from the company in 2002.
20,Petrobras,144.1,11,331.6,120.7,Brazil,South America,-22.9068,-43.1729,,,"Joint No.20.Petróleo Brasileiro S.A., better known by the acronym Petrobras, is a state-owned Brazilian multinational corporation in the petroleum industry headquartered in Rio de Janeiro, Brazil. The company's name translates to Brazilian Petroleum Corporation — Petrobras. "
20,Samsung Electronics,187.8,21.7,196.3,174.4,South Korea,Asia,37.2636,127.0286,,,"Joint No.20. Samsung Electronics Co., Ltd. is a South Korean multinational electronics company headquartered in the Yeongtong District of Suwon. It is the pinnacle of the Samsung chaebol, accounting for 70% of the group's revenue in 2012."
22,BNP Paribas,126.2,8.6,2504.2,71.3,France,Europe,48.8566,2.3522,,,"No.22.BNP Paribas S.A. is a French international banking group. It is the world's 8th largest bank by total assets, and currently operates with a presence in 72 countries. Headquarters: Paris, France."
23,Total,240.5,14.1,224.1,114.4,France,Europe,48.8566,2.213749,,,"No.23.Total SE is a French multinational integrated oil and gas company founded in 1924 and one of the seven ""supermajor"" oil companies.Headquarters: Paris, France."
24,AT&T,127.4,7.3,272.3,200.1,USA,North America,32.7791,-96.8003,,,"No.24.AT&T Inc. is an American multinational conglomerate holding company, Delaware-registered but it is headquartered at Whitacre Tower in Downtown Dallas, Texas. It is the world’s largest telecommunications company, and the second largest provider of mobile telephone services."
25,Allianz,140.3,6.8,915.8,66.4,Germany,Europe,48.1351,11.582,,,"No.25. Allianz SE is a German multinational financial services company headquartered in Munich, Germany. Its core businesses are insurance and asset managementAllianz SE is a German multinational financial services company headquartered in Munich, Germany. Its core businesses are insurance and asset management"
26,Sinopec-China Petroleum,411.7,10.1,200,106.9,China,Asia,39.86166,116.195397,,,"No.26.China Petroleum & Chemical Corporation, or Sinopec, is a Chinese oil and gas enterprise based in Beijing. It is listed in Hong Kong and also trades in Shanghai and New York. "
